"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,0.98573786,1.1789762,1.1030934,1.0552253,0.99439114,0.796225,1.1324586,1.0476314,1.066289,0.9600909,0.866306,0.81311214
0.8232056,0.70817834,1.0482887,0.9981851,1.1250049,1,0.9645333,0.82172674,1.0000002,1.2512393,1.2266335,1.1667455,0.60703605
0.98134094,1.0203643,0.99055284,1.0092528,0.9888284,0.99611336,1.0338236,1.091508,0.9812505,0.9831667,1.033494,1.0019345,1
0.8834401,1.2772661,0.52902806,0.9980351,1.25823,0.9967163,1.5837833,1,1.0744671,0.7935285,1.368875,0.6663438,1.1054068
0.9327856,1,1.1048383,1.069158,0.97652435,1.035242,0.9899447,1.0079865,1.098196,0.9646501,0.97518003,1.0083407,0.9565276
0.90045595,0.99635756,1,1.1040019,1,1.0793321,1,0.9198988,0.93199515,1.0050321,1.1097573,0.93374395,0.9437515
0.9801478,1.0530798,0.9788641,1.031079,0.99633497,0.99999994,1.0307958,1.0991157,0.95915,0.9726109,1.0471965,1.0037676,0.9987076
1.1633209,0.9925779,1.0092252,1.1086652,1.1627524,1,1.0017304,0.8519975,0.99682873,1,0.9898675,0.9179172,0.908003
0.9592731,1,0.96160865,1.004139,1.0090297,1.0549772,0.915537,1.0863049,0.93184716,1.0019612,1.0782061,0.9844584,0.7965171
1.1550529,1.0011863,1.0310274,1.0020024,1.0509704,0.9859494,0.99761516,1,1,0.9910457,0.9742512,0.99451697,1.06099
0.92200565,0.96904784,0.99968743,1.0016146,1,1.3299947,0.91817576,1.046717,1.0006465,0.9996874,1.4505578,1.5352257,0.99678475
1.279986,1.8547152,0.7564683,0.81963766,1.0792347,1.8713372,2.4776738,0.6014449,1,0.95610255,0.87869287,1.0095828,0.8784799
0.9011586,1.0518798,0.95365286,1.0086762,0.96235335,1,1.007296,1.098989,0.9657279,0.9973262,1.0411083,1.0026946,0.9986588
0.7888947,1.0051901,0.9401964,1.0037184,0.999513,1,1.0032202,1.0066833,0.94488955,0.998774,1.2916234,1.001,0.9997569
1.1736153,0.8878816,1,1.1261064,1.0032424,0.956924,1.001295,0.827823,0.9956966,0.9993543,1.0014615,1.0011411,0.999998
1.2550553,1.2632834,0.74364245,1.0406164,0.95909035,1.0734732,0.99999994,1.1968013,0.8543925,0.98294294,0.85561484,0.84702903,1.0808203
0.8240061,0.96185356,1.2062664,0.9709739,1.0129783,1,1,1.2366611,1.0341657,1,0.85000426,1,0.92813325
0.957094,1.0115644,1,1,0.9930338,0.9965018,1.006943,1.0590639,0.9976902,0.9918495,1.0416594,1.4508784,0.99764484
0.9832771,1.1227568,1.0874174,1,0.9923155,1.1152774,0.9685698,1.08418,0.9838805,0.98267573,0.97640365,1.0103797,1.2994317
1.3361591,0.8886386,0.9208702,1.0420787,0.98561925,0.98157513,1.19694,0.8362697,0.9244612,1.4230293,1,1.0126817,2.4547915
0.9986411,1.0022805,0.99978316,1.0007145,0.99978316,0.99971515,1.0004264,1,1.0003563,0.999855,1,1.0006412,0.99978316
0.9075376,1,1.0506204,1.1644914,0.9977584,0.99885535,1,1.0477045,1.0515268,0.99684286,1.018133,0.98387694,0.94043106
0.9989306,1.0442425,0.99999994,1.1003151,0.99407554,0.54534554,1.0027134,1.0410333,0.993,0.6851379,1.0259231,1.0081074,0.99999994
0.99999994,0.98802036,1.0786824,1.063285,1.0105579,0.91772467,1.0004125,0.97882444,1.0683249,0.96371454,0.9290951,0.9674983,1.1594727
0.99503773,0.5271533,1.6032717,0.6345001,1.5239673,1.7528584,1.0574297,0.74837667,1.0341456,0.99999994,0.8389817,1.7519877,0.63168854
0.9962034,1.2191547,1,1.0086459,0.98749506,0.98736227,1.0014906,1.0139613,0.9993208,0.98695344,0.7699574,1.0028442,1.3241211
0.9389774,1.0868331,0.9517418,1.0046759,0.9854114,1,1.056261,1.1463022,0.98229706,0.93569356,1.0948442,1.0611693,0.98867136
0.9099034,1.051294,0.9853849,1.0399961,0.9935932,1,1.0320832,1.1121894,0.98385656,0.9822889,1.0417001,1.00798,0.9951475
2.2698152,0.52561074,0.9057453,0.9202232,0.9118689,1.3071002,1.2405498,1.5519001,1.6528053,0.7282884,0.79363436,1.106904,1
0.97012603,1.0264009,0.99653167,1.0138547,0.9965468,1,1.0138547,1.0183874,0.9827432,0.99073666,1.0126768,1.8437409,0.9988225
0.986283,1,1.1036696,0.75979936,1.1050836,0.99965245,1,1.299627,1,0.99874926,0.9674674,0.9953577,1.0845703
0.9863196,1.3216863,0.88811797,0.9737652,0.9755426,0.9956799,1.009791,0.8878577,1.242336,1.0230365,1,1.000507,1.0601292
0.9595068,1.0293897,0.9953822,1.0293933,0.99323046,1,1.0382767,1.0225909,0.9955253,0.98410594,1.0203253,1.0022517,0.99323046
1.0419208,1.004866,1,0.97009546,0.9507482,0.9966755,1,1.1861948,1.0057967,0.968982,0.96078753,0.9969784,1.0167999
1.1194144,0.77248293,0.8878412,0.8547925,1.0900776,1.1302948,0.9983843,0.7877272,1.0004845,1.0042986,1,0.99764603,1.354472
0.9093162,1.1305596,1.0396801,1,1,1.0163156,1.0314759,1.0783943,0.869308,0.91852164,0.862731,1,0.99966735
1.2743334,0.99308753,0.99824774,0.99824774,1.0076834,0.99824774,1.002419,1.0068089,1.0559704,1.0008788,0.849406,1,0.9979165
0.94638586,1.0210394,0.9655713,1.0076412,0.9885853,0.9924087,1.021082,1.0497086,0.9770858,0.9808857,1.0286691,1,1.053527
0.96345603,1.0866971,1.0074464,1.111893,1.0027579,0.9761262,1,0.9816613,0.97767866,0.96294737,0.9277723,1,1.069141
0.7442866,0.9217021,2.2160683,1.0839838,1,0.9369988,0.6764023,0.9856202,1.5907612,1.515665,1.1057987,1,0.62713915
0.5962189,1.0006452,1.2723441,1.4487077,0.99973625,0.9999964,0.86052454,0.99999994,1.3043858,1.2072499,1.0005227,0.99999994,0.59752125
0.52141184,1.2102747,0.97796226,1.1222531,0.94817406,1.1967132,1.1447697,1.3285574,0.82782555,0.9440163,1.1645468,0.99999994,0.8347637
3.0302985,1.3754878,1,0.99591005,1.0135807,0.90985024,0.971812,0.99734867,1.1049103,1.2671452,0.53403014,0.9094779,1.0809488
0.8659293,1.0186054,0.6589102,1.4002284,1,1,1.021177,1.1698033,0.9953691,0.9920458,2.5084145,1.713352,0.9946507
0.96941036,0.9090822,1.092277,1.0906745,1.0419335,0.94610316,0.9628683,0.86392564,1.1916846,1,1.0134841,1.0681247,0.9983521
0.81763446,1.1861076,1.0767998,0.967233,0.83737636,0.9337916,1.075131,1.0270905,1.0870016,1.0380801,0.84239924,0.77239376,1
0.96660244,0.70915383,0.9750845,0.94588,1.1838892,1.0122466,1.0884709,0.6841218,0.95780784,1,1,1.0480828,1.035696
1,1.1125983,1.4773637,0.65918946,1,1.7106766,1,0.9013671,1.7971812,0.94241977,1.0016781,0.9944808,0.90636367
0.93280333,1.1401395,0.9871071,1.0472859,0.994232,1,1.0886251,1.3559756,0.9698447,0.9769493,1.0801147,1.0384614,0.9870886
0.9948434,1.0137318,1.2674468,1.0011395,0.99882394,0.99999714,1,1.0165994,0.99653083,0.9930778,1.0011395,1,0.99882394
0.7055899,1.3478894,0.8284769,1.2085408,0.8886719,1,1.1051922,1.2806473,0.8013511,0.9212105,1.5464227,1.0026743,0.8824423
0.9552076,0.7085141,1.11594,0.97511744,1.1202134,1.0408951,0.75591135,0.8236365,1.3077765,1.0415574,1,1.1013364,0.7009322
0.9883796,1.0876359,0.99119264,1.056091,0.99778223,1,1.0071999,1.1226188,0.9916916,0.9911601,1.0810456,1.0027658,0.99224377
1,0.89876086,0.9928597,0.92183656,1.0731341,1.0669113,1.0116695,0.9378502,1.0477141,0.9880667,1.0874861,1.0252675,0.8729478
0.72250843,1.4502606,0.9193317,1.182874,0.97903883,1,1.3305072,1.4309741,0.8849169,0.9284076,3.51973,1.5557481,0.9103801
1.076662,1.0186269,0.95137626,1.2245731,0.95137626,0.9953664,1.0116313,1.1828694,0.9815789,0.94210666,0.99999994,1.1087707,0.9976883
1.0807064,1,1.0016344,1.0829511,1.0522141,0.98179644,0.95520306,0.9058689,1.0066825,1,1.0020337,1,0.988578
0.9403619,1.1271844,0.86097205,1.0521401,0.93076396,0.98486733,1.0162029,1.233429,0.93834466,1.0263215,1.0328761,1,0.97854066
0.974206,1.0748061,1.0762612,1.0443845,0.9355168,1,1.0944313,1.4888014,1.1261232,0.79892284,0.7958106,0.98130995,0.93256545
0.9670337,1.0545273,0.99466443,1.0357646,0.9929296,1,1.0393513,1.0813655,0.98843354,0.9901931,1.2528552,1.1134664,0.99649847
0.989442,1.0005112,1.2074238,0.9941181,0.99532044,0.992916,0.64362574,1.0032781,1.0721285,1.0710536,1,0.9934338,1.0576161
0.88357997,1.0115213,0.94828564,1.0000001,0.99282265,0.99425083,1.0417427,1.0144219,0.99139875,0.99140257,1.0086386,1,1.4454014
1.158105,0.87168586,0.79120386,1.1305486,1.1446943,1.1761479,0.9454669,0.66260123,0.7986386,1.022785,1.0838009,1,1
0.9636493,0.8301411,0.9566417,1.1032058,1.310378,1.0393507,0.8199991,0.79582345,1,1.0937618,1.0095501,1,1.8333788
0.9602046,1.0571539,0.8510779,1.0342991,0.9623536,0.98659706,1.033581,1.0727991,0.9823258,0.960928,1.0992485,1.0129347,1
1.0338807,1,0.95331043,0.90324354,0.9410849,0.92280364,1.0392212,1,1.0441544,0.98279554,0.92931825,1,1.1573402
1.3600224,0.87672585,0.7306739,0.9728435,0.9998832,1.0977712,1.1330677,0.7100806,0.82041323,1.0143592,1.0001684,1,1.147189
1.1448618,0.9495979,1,0.87968755,1.0236735,0.97964674,1.0375447,0.9375041,0.8065623,1.0177399,1.0119053,0.9815859,1.0216396
0.9741364,1.0257121,0.99131155,1.0257801,0.99131143,1,1.0256977,1.0314484,0.9856804,0.98270196,1.0228481,1.0027753,0.99138033
1.0171506,1.0879486,0.8746977,0.85504115,0.90792537,1,1.3174068,1.067992,0.9582809,0.87356484,0.88386106,1.003132,1.1921455
0.7404793,1.0008969,1.0240505,1.3568392,1.0762919,0.8585561,0.6110328,1.0694875,0.9936745,1.0906346,1,0.9912898,0.9010208
0.89705306,1.237439,1.3328645,1.010019,0.848155,0.76368254,1.010019,1,1.5464063,0.96382576,0.956911,1.010019,0.8823659
1,0.8631856,0.99933785,1,1,1.1384399,0.94530404,0.81602824,1.1618917,1.2917361,1.0010986,1.2357446,1.0152068
0.9550736,1.0212412,0.99048465,1.0070525,0.99523836,1,1.0261102,1.0640593,0.98091656,0.9904169,1.0355977,1.0047802,0.99753666
1.0223315,0.9514398,0.9984975,1.0033755,0.9992667,0.99999994,0.956674,1.0063564,0.99999994,0.9973798,1.0041087,1.3999057,1.2663338
1.2604239,0.98655117,0.60358095,0.6821306,1,1.4312627,1.4302562,1,0.63291043,0.71939325,1.1282434,1.2974687,0.99162596
1.4919063,1.095953,1.2272289,0.99669766,0.99999994,0.9170678,1.0002068,1.0805643,1.0611796,0.99953014,0.9251555,0.7088761,0.7348736
1.2154155,1.3681337,1.5179145,0.8150675,0.873414,0.8635462,1.0501466,1.4792342,1.1513095,0.819577,0.7854379,0.6947736,1
0.799356,1.24287,1.3327638,1,0.6118093,0.99734956,1,1.1303753,1.168064,0.9911847,1.0994897,1.0695732,0.6838897
0.9995917,1.0007747,0.99987584,1.0972931,0.9271391,1,1.0004076,1,1.021648,1.1504533,0.9659638,0.99050355,0.9999199
0.9885391,1.1372206,1.0621399,1.0530391,1.0161213,0.9030597,1.0308986,1,0.95008963,0.9564278,0.9678063,0.9885048,1.0000645
0.9649315,1.1172237,0.99181306,1.051483,0.99181306,0.99999994,1.0412083,1.2984207,0.9814815,0.973381,1.0699881,1.022684,0.99378866
1.0181038,0.94994915,1.3394654,0.8059263,1.1621006,1,0.7500266,0.6187623,1.1631953,1.164357,1.0541611,0.84871185,0.80172247
1.0823915,1.3997303,1.0279772,0.9966956,1.2260025,0.99683785,1,1.37715,1.1386948,0.9489586,0.77492154,1,0.90784323
0.90865105,0.9933937,1.0511805,1.0974568,1.1649925,0.9026445,0.6980216,0.9816749,1.1482365,1.0366052,1.1117767,1,1
1.190315,0.9959402,0.9402962,1.1297717,1.3191214,0.97364014,0.99724317,0.72338665,0.81523097,1,1.034436,1.1186123,1.3372625
0.9417189,1.0132848,0.99757594,1.0375949,0.99757594,1,1.0241523,1.0242648,0.9369893,0.9867216,1.0375153,1.0158029,0.9988364
0.96995324,1.0176667,0.98760474,1.0070548,0.99112743,0.9946624,1.0105602,1.0229677,1.0936102,0.9840625,1.0123018,1,0.9946826
0.98236334,1.0164461,1,1.0093488,1,0.99647677,0.988165,1.0399181,0.9976238,0.9964397,1.0281856,1.0493172,1
0.90656835,1,1.2444987,1.2757772,0.8325202,0.71873206,1.193079,1.1361358,1.170331,0.91617596,1.1018103,0.78665334,0.7342675
0.96357274,1.0047573,1.056537,1.0494282,1,1,1,1.2154173,1.0976306,0.95179594,0.98352754,0.9930369,1
0.9737981,0.9835417,1.0085099,0.6941104,0.96780133,0.9671757,1.0097014,1.1051894,1,0.97006714,1.0158452,1.1917688,1.0114256
2.037872,1.9145179,0.9415971,1.1394197,1,0.9647599,1.1932063,1.0581384,0.81011546,1.0633109,0.8088423,0.72099286,0.91114223
0.9576284,1.0553342,0.981133,1.0400428,0.99887747,1,1.0446781,1.0729835,0.989478,0.9870158,1.059969,1.0141523,0.9941576
0.6625095,3.0757406,1,2.2376873,0.7286549,0.60333514,1.2435589,2.6847541,0.7467316,0.4541813,1.2627076,1.3818189,0.56700975
0.86141336,1.4736569,1,1.9356694,1.6638957,1.0796039,0.68831235,0.91775787,1.0218506,1.0464411,1,0.81998235,0.37218425
0.96791714,0.99999994,0.96246743,1.0297724,0.9650637,1.2970427,1.0063568,1.1893374,0.87009203,0.9810561,1.1281631,0.99325114,1.344569
1.5197171,0.45564064,0.3186132,0.83707476,1.2147952,1.2922025,1.0984346,0.5597941,0.55045223,1,1.1669586,1.2964956,0.9327317
0.9510756,0.86220354,1.1869855,0.99097466,1.04551,1.0639101,1.014952,0.9007485,1.0280113,0.99999994,1.0480796,0.9110677,0.78522575
1.1125008,0.783815,1.0468698,0.9694291,1,1,0.84451586,0.65239906,0.99667144,1.1043323,1.0554231,1.1733769,1
3.0432105,0.7727102,0.7864992,0.78767866,0.976966,1.5236261,1.1207589,0.5876042,1.1066008,1.0403516,1,1,1.0135453
0.9527296,1.0666939,0.93043983,1.0246035,0.9923745,1,1.1001745,1.1265017,0.9804759,0.9853705,1.0577422,1.1446708,0.9930641
1.1405029,0.9401391,1,1.0972277,1.0805421,1,0.9814982,0.80484945,1.007924,1.0129895,0.8580977,0.94703954,1.1730641
1.1842551,1.1677227,0.9242859,1.3868321,0.91158515,0.7570804,1,1.4660393,1.3222512,0.8340997,0.73507005,0.8919629,1.9186189
0.97955114,1.0222505,0.99715626,1.0213541,0.99903214,1,1.0240849,1.027796,0.989763,0.97043294,1.0305642,1.0045937,0.9990616
0.9605857,1.1050453,0.99335366,1.0377433,0.99487555,0.99999994,1.004868,1.2999588,0.98524576,0.9802266,1.0540937,1.018073,0.99999994
1.0211761,1.6365348,1.1527687,1.2311403,0.994606,0.6811249,1,1.3351529,1.1410043,1,0.7700903,0.8987736,0.85022944
0.96818984,0.9843856,1.0021276,1.0972674,0.9974057,0.99854726,0.99999994,0.9459871,1.1346315,1.1212744,1.0526631,1.0020928,0.99999994
0.9117073,1.0714658,0.9812727,1.0356466,0.9948281,1,1.0663282,1.1170479,0.96775556,0.98133796,1.0577686,1.0612016,0.9812727
1.5884739,1.4628885,1,0.990722,1,0.9838914,1.127524,1.6077098,0.96928954,0.98954624,0.9415506,0.98403263,1.0117315
1.1256411,1.0050799,0.97381425,1.0001544,0.9458962,0.9998073,1.0001544,0.93575555,1,0.9837017,1,0.862679,1.3402238
0.87291455,1.1501572,0.9525467,1.0302368,0.99799144,1,1.0473117,1.0403211,0.9353637,0.98788714,1.126925,1.1179072,0.99290586
0.9074585,1.0248374,0.97034436,1.0165899,0.95646733,0.98200643,1.0945848,1.3951552,0.96131945,1,1.0227889,1.0076138,0.9723106
1.19149,1.3233806,0.88541466,1.2284659,1.1432716,0.85178924,0.9546501,1.0567423,1.0711737,1,0.81779647,0.91207224,0.8657345
0.98410094,1.0169362,1.0208796,0.99305487,1.0363148,0.9868966,1.0039328,0.891567,1.0407518,0.9999857,0.9884399,1.0446409,1
0.9880877,1.1951826,0.97956145,1.0024029,0.997661,0.99999994,1.0012008,1.192317,0.997661,0.98924226,1.1827861,1.0083637,0.9940713
0.6074752,1.0004255,1.173302,1,0.91408914,0.74377626,0.73674506,1.1867625,1.0830982,1.0918798,1.1888133,0.9640778,0.9908607
0.81201386,0.94397694,1.1269807,0.74316317,0.94397694,1.0695937,1.0327183,1.0339494,1.0691065,0.9988936,0.99999994,1.0812011,0.9160193
0.9890639,1.0130616,0.9945361,1.0108685,0.9945361,0.9988819,1.0097941,1.2851093,0.9421198,0.9977943,1.0480778,1.0929171,1
0.99320644,1.01108,1,1.0069969,0.9437904,0.9444231,0.95256895,1.0414726,1.2772368,1.142205,1.0094078,0.9200905,1
1,1.2138388,1,0.85887355,0.9695573,0.93608797,0.8012337,1.032347,1.1839784,1,1.000107,0.76486415,1.1909542
0.676635,1.21834,0.77154994,1.0292099,1,0.99720246,1.0334326,1.0457282,0.8847237,0.99793977,1.1214213,1.0081844,0.99927646
0.7923659,0.86449665,1.007307,1.1032056,0.86944985,1.0319772,0.89414567,1.0806807,1,0.94407415,1.029763,1.0469551,0.77868325
0.95407015,1.1132259,0.9772979,1.029812,0.74574953,1,1.5199137,1.0715154,1,0.9601021,1.0480455,1.0427101,0.9899809
1.0391895,1.0053769,1.3098546,0.94282496,0.945105,1,1,1.6658344,0.98839086,0.98856324,0.96665394,1,1.0351356
3.7049642,1.0011376,0.97527933,1.0003822,0.9304411,0.9810334,1.6592181,0.99619675,0.9969638,1.0216362,1.1838092,1,0.9334742
1.0676295,1.0027728,1.0236958,1.0018518,0.9518095,1,1.0008539,1.0036329,0.99964285,1,1,0.96518296,0.9999278
0.8562471,1.1791037,0.8735891,1.0593371,0.9744323,1,1.1192253,1.2654353,0.98932636,0.99440604,1.1827186,1.0450205,0.851672
1.0002111,1.0003488,1,1.0076841,0.99937385,0.99930626,1.0005575,1.0004163,0.9990251,0.99923354,1,0.99888694,1.0230166
0.9656107,1.058267,0.9969778,1.0030172,0.98807603,1,1.0628169,1.1422738,0.9864338,0.98805404,1.0464252,1.0163723,0.995481
0.95813805,1.0132982,0.9977114,1.0398675,0.9890661,1,1.0043949,1,0.99781656,0.9823951,1.017742,1.1280828,0.99781656
0.9990859,1.200149,0.98203796,1.0689882,0.9925511,1,1.1859486,1.0037763,0.9792182,0.9820969,1.0973146,1.0311575,0.99906695
1.0836133,0.97242916,1.0472481,1.038144,1.0044619,1.0202465,0.9993468,0.99856657,1,1.0989903,0.89555156,0.9285084,0.9971374
0.9974346,1.0307382,0.9911116,1.0242865,0.978278,1,1.0051374,1.0421897,1.0690811,0.9974346,1,1.0012907,0.99738777
1.0285205,0.87159437,1.0084283,0.97751987,1.0378791,1.1329126,0.92230386,0.97517145,1.0017103,0.99940014,1,0.9996784,1
0.29132044,2.1603258,2.9792478,1.2931595,0.82799625,0.8277513,0.96195656,3.2023935,1.4352189,1.1228735,1,0.82862014,0.8494787
1.0025297,0.9756855,0.8825495,0.92420435,1.0112715,1.0240293,1.0595605,0.9992069,1.0047768,0.99482083,1,0.986798,1.1251966
0.9503409,1.0560703,0.9759326,1,0.9814293,1.027961,1.243485,1.0670224,0.9884224,0.97441286,1.0047009,1.1291116,0.98143893
0.8246506,1.0549164,0.8871318,1.063589,0.9387584,1.115216,1.0161335,1.0968921,0.8666552,0.99999994,1.0302078,0.99999994,0.98708296
0.6048136,1.1969622,1,1.2288182,0.81342,0.9734803,1.0231451,1.175656,0.69719017,1,0.9624957,1.0782983,1
0.87332785,0.91206825,1.2224445,0.7565919,1.009538,1.180831,1.0064504,1.2244157,0.9507291,0.9649445,1,1.1108444,0.7359814
0.9022994,1.0026368,0.9792169,1,1.0795516,0.9674157,0.9973954,1.0039196,1.0013287,0.98307455,1.0077186,1.0378195,0.9024187
0.81354684,1,0.9131187,0.99770373,1.0437802,0.79000884,1,1.0811704,0.78192014,1.4458238,1.1198456,0.9637277,1.1732538
0.9427253,0.9339946,1,1.1177146,1.0375823,0.9810401,0.97627205,0.96846336,0.99342346,1.1304265,1.1910361,1.0038298,1.0022233
