0,1,0,1,0,1,0,1,0,1
0.15643,0.98769,0.10453,0.99452,0.078459,0.99692,0.052336,0.99863,0.026177,0.99966
0.30902,0.95106,0.20791,0.97815,0.15643,0.98769,0.10453,0.99452,0.052336,0.99863
0.45399,0.89101,0.30902,0.95106,0.23345,0.97237,0.15643,0.98769,0.078459,0.99692
0.58779,0.80902,0.40674,0.91355,0.30902,0.95106,0.20791,0.97815,0.10453,0.99452
0.70711,0.70711,0.5,0.86603,0.38268,0.92388,0.25882,0.96593,0.13053,0.99144
0.80902,0.58779,0.58779,0.80902,0.45399,0.89101,0.30902,0.95106,0.15643,0.98769
0.89101,0.45399,0.66913,0.74314,0.5225,0.85264,0.35837,0.93358,0.18224,0.98325
0.95106,0.30902,0.74314,0.66913,0.58779,0.80902,0.40674,0.91355,0.20791,0.97815
0.98769,0.15643,0.80902,0.58779,0.64945,0.76041,0.45399,0.89101,0.23345,0.97237
1,2.8328e-16,0.86603,0.5,0.70711,0.70711,0.5,0.86603,0.25882,0.96593
0.98769,-0.15643,0.91355,0.40674,0.76041,0.64945,0.54464,0.83867,0.28402,0.95882
0.95106,-0.30902,0.95106,0.30902,0.80902,0.58779,0.58779,0.80902,0.30902,0.95106
0.89101,-0.45399,0.97815,0.20791,0.85264,0.5225,0.62932,0.77715,0.33381,0.94264
0.80902,-0.58779,0.99452,0.10453,0.89101,0.45399,0.66913,0.74314,0.35837,0.93358
0.70711,-0.70711,1,6.1232e-17,0.92388,0.38268,0.70711,0.70711,0.38268,0.92388
0.58779,-0.80902,0.99452,-0.10453,0.95106,0.30902,0.74314,0.66913,0.40674,0.91355
0.45399,-0.89101,0.97815,-0.20791,0.97237,0.23345,0.77715,0.62932,0.43051,0.90259
0.30902,-0.95106,0.95106,-0.30902,0.98769,0.15643,0.80902,0.58779,0.45399,0.89101
0.15643,-0.98769,0.91355,-0.40674,0.99692,0.078459,0.83867,0.54464,0.47716,0.87882
5.6655e-16,-1,0.86603,-0.5,1,2.8328e-16,0.86603,0.5,0.5,0.86603
-0.15643,-0.98769,0.80902,-0.58779,0.99692,-0.078459,0.89101,0.45399,0.5225,0.85264
-0.30902,-0.95106,0.74314,-0.66913,0.98769,-0.15643,0.91355,0.40674,0.54464,0.83867
-0.45399,-0.89101,0.66913,-0.74314,0.97237,-0.23345,0.93358,0.35837,0.56641,0.82413
-0.58779,-0.80902,0.58779,-0.80902,0.95106,-0.30902,0.95106,0.30902,0.58779,0.80902
-0.70711,-0.70711,0.5,-0.86603,0.92388,-0.38268,0.96593,0.25882,0.60876,0.79335
-0.80902,-0.58779,0.40674,-0.91355,0.89101,-0.45399,0.97815,0.20791,0.62932,0.77715
-0.89101,-0.45399,0.30902,-0.95106,0.85264,-0.5225,0.98769,0.15643,0.64945,0.76041
-0.95106,-0.30902,0.20791,-0.97815,0.80902,-0.58779,0.99452,0.10453,0.66913,0.74314
