0,0,0,0,0,0,0,0,0,0
-9.5485,-3.929,-6.1472,-7.0434,10.073,1.0464,1.7872,4.0798,0,0
0,0,0,0,0,0,0.16078,-1.3907,1.5291,-1.8217
0,0,0,0,0,0,0,0,2.2861,0.4673
0,0,0,0,0,0,0,0,0.16287,-1.4721
0,0,0,0,0,0,0,0,1.0109,0.56002
0,0,0.50477,5.6265,0,0,-2.4797,-2.8597,0,0
6.5019,-5.7149,-9.5495,-1.32,-7.834,-1.2065,-2.6565,-0.88025,7.7622,8.6659
0,0,0,0,0.35044,1.4236,-0.20017,-2.6299,0,0
0,0,0,0,0,0,0,0,0,0
0,0,3.4645,1.5104,0,0,0,0,-0.24088,-1.9498
-2.967,1.0145,0,0,0,0,-0.31396,0.52089,0,0
4.8163,-2.1681,2.2552,3.016,2.7977,2.2161,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-2.1468,-0.66146,4.1212,11.15,0,0,-3.2214,-8.4718,-2.0846,-2.8969
0,0,0,0,-0.95937,2.0364,0,0,0,0
0,0,0,0,-0.1179,-2.3119,0,0,0,0
0.43231,1.2125,2.4926,7.6125,0,0,-1.5456,-5.9544,0,0
0.12273,0.46774,0,0,-0.45227,0.54249,-0.30381,0.75091,-2.1853,1.3943
0,0,0,0,0,0,1.4897,-0.95742,0.38982,1.3101
0,0,0,0,0,0,0,0,0,0
0,0,-1.9435,-6.3604,-1.2437,-0.35562,0.52897,5.8223,0,0
0,0,3.2895,-0.050809,0,0,-0.89677,0.30071,0,0
-2.3096,3.778,0,0,1.5885,-2.0737,0,0,-1.342,1.2248
0,0,-0.84257,-1.227,-1.1851,1.7073,0,0,0,0
0,0,1.9625,1.8031,0,0,0,0,0,0
-2.6169,1.9184,0,0,2.8057,1.0069,2.4662,-0.016222,-3.0778,-3.4518
0,0,0,0,0,0,0,0,-1.2676,-1.3053
5.8843,-3.8785,-1.5771,5.3359,-2.4806,3.0195,2.3977,-3.8897,1.3966,4.1979
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,-2.7319,-9.5555,0,0,3.2835,6.7734,0,0
0,0,0,0,-1.5604,-0.31007,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1.3511,0.029511,0,0,-1.8709,0.042708,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1.915,-4.232,0,0
0,0,0,0,-1.1493,0.65055,0,0,0.28022,0.7275
0,0,0,0,0,0,0,0,0,0
-2.9123,-0.27562,0.56506,-3.5282,0,0,0.56962,-2.3204,0,0
13.771,1.5422,1.5342,14.051,0,0,1.2981,14.787,-2.8389,0.81521
-1.0038,-0.26956,0.33115,-0.98527,0,0,0,0,0,0
-1.8663,2.7407,0,0,0,0,0,0,0,0
-1.2655,2.2099,0,0,0,0,0,0,0,0
0,0,-2.8647,-5.4693,0,0,-0.059219,-5.5277,3.718,0.39759
0,0,0.16048,0.10477,0,0,0,0,-1.667,-0.48885
0,0,0,0,0,0,-0.70099,-0.49958,1.3504,-0.42896
0,0,0,0,0,0,0.99658,-1.8854,0,0
0,0,0,0,0,0,0,0,-0.80247,-2.6775
0,0,1.9162,9.2757,0,0,-2.7896,-7.3719,-1.3097,-2.7829
2.9201,-3.7689,-4.5389,-0.97935,-2.5633,0.57818,0,0,4.1837,3.5472
0,0,0,0,0,0,2.0088,-0.68278,0,0
0,0,0,0,0,0,0.58421,-0.76307,0,0
0,0,-1.2626,0.24246,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-0.86308,-1.1796,0,0
3.8835,-2.2865,-4.9405,-1.8424,-4.9081,-1.2923,0,0,4.4704,3.328
